cluster,39,39,39,39
opt,,,,
planning_horizon,2020,2030,2040,2050
carrier,,,,
biogas,-inf,-inf,-inf,-inf
coal,-inf,-inf,-inf,-inf
gas,-inf,-inf,-inf,-inf
geothermal,-inf,-inf,-inf,-inf
lignite,-inf,-inf,-inf,-inf
nuclear,-inf,-inf,-inf,-inf
offwind-ac,0.23,1.472,1.598,0.168
offwind-dc,24.816,0.0,0.136,0.077
offwind-float,31.876,24.54,0.203,0.01
oil primary,-inf,-inf,-inf,-inf
onwind,1.548,0.923,4.058,2.524
ror,0.001,0.003,0.008,0.001
rural solar thermal,33.951,28.668,37.169,42.215
solar,0.015,0.186,2.378,2.023
solar rooftop,0.0,0.0,0.026,0.0
solar-hsat,0.0,0.015,25.228,17.233
solid biomass,-inf,-inf,-inf,-inf
unsustainable biogas,-inf,-inf,,
unsustainable bioliquids,-inf,-inf,,
unsustainable solid biomass,-inf,-inf,,
urban central heat vent,inf,inf,inf,inf
urban central solar thermal,27.696,12.734,38.107,38.833
urban decentral solar thermal,32.106,27.423,36.017,43.953
